Office Name,Office type,Office province,Phone number,Email address,Physical address,Website,Contact person,Link to Google Maps,Latitude,Longitude
Winburg Makeleketla Victim Empowerment Programme Forum,Advice Office,Free State,,MalijacheR@caosasouthafrica.org.za,3rd De Laney Street Winburg Makeleketla,,Malijache Radebe,,-28.51479,27.00639
Zamdela Advice and Resource Centre,Advice Office,Free State,,EgnesM@caosasouthafrica.org.za,358 Somer Sport,,Mafanti Egnes,,-29.10927,26.19453
Benoni Community Advice Centre,Advice Office,Gauteng,,RoseM@caosasouthafrica.org.za,13 Petro Close Street Faremere Benoni,,Rose Mankazana,,-26.15937,28.30095
Bokamoso Skills and Economic Development Centre,Advice Office,Gauteng,,LebohangM@caosasouthafrica.org.za,57 Gandor Road SmallFarm Evaton,,Bheki Maduna,,-26.54871,27.84647
Centre for Human Rights and Information,Advice Office,Gauteng,,MarekoM@caosasouthafrica.org.za,2644 Molefe Makinta Highway Trust Farm Refentse West 0509,,Mareko Moreroa,,38.89037,-77.03196
Community Regeneration and Development Centre (CRDC),Advice Office,Gauteng,,ChucksM@caosasouthafrica.org.za,235 Second Floor Silver Hawk Bld 11 Kruger Avenue Vereeniging,,RM Chucks Mochologi,,-26.67208,27.931
Dobsonville Human Rights Centre,Advice Office,Gauteng,,MarthaL@caosasouthafrica.org.za,5634 Unit Boulevard Cemetery Road Braamfisher phase 2,,Martha Langa,,38.89037,-77.03196
Etuka Legal Resource and Development Centre,Advice Office,Gauteng,,TshepoK@caosasouthafrica.org.za,13786 Mohlala Street Daveyton Ekurhuleni 1520,,Percyval Leberegene,,-26.13088,28.44861
Etwatwa Community Law Advice Centre,Advice Office,Gauteng,,MduduziS@caosasouthafrica.org.za,3441 Eiselen & 23rd Street Ext 31 Etwatwa East 1519,,Mduduzi Shabangu,,-26.12278,28.45148
Inner City Resource Centre,Advice Office,Gauteng,,SherezaS@caosasouthafrica.org.za,301/306 Focus House 86 Loveday Street Johannesburg CBD,,Shereza Sibanda,,-26.20621,28.0408
Kempton -Thembisa Advice Centre,Advice Office,Gauteng,,JojoM@caosasouthafrica.org.za,"238 Corner Andrew Mapheto and George Nyanga Street, Thembisa Civic Centre, Thembisa",,Jojo Mashaba,,38.89037,-77.03196
Mandelaville Crisis Committee,Advice Office,Gauteng,,BafanaD@caosasouthafrica.org.za,1407 Langalibalele Street Solplaatjie Roodepoort 1724,,Nozipho Dlamini,,-26.15988,27.86915
Ntsu Community Advice Office,Advice Office,Gauteng,,SethM@caosasouthafrica.org.za,"5086 Block B2 Malahleng, Mabopane, 0190",,Seth Mnguni,,-25.48115,28.02004
Orange Farm Human Rights Advice Centre,Advice Office,Gauteng,,BricksM@caosasouthafrica.org.za,"4602 Drieziek Ext 1, Orange Farm, 1841",,Bricks Mokolo,,-26.46767,27.85109
Sibambene Advocacy Centre,Advice Office,Gauteng,,Victor@caosasouthafrica.org.za,2452 Munsieville Social Integrated Centre Corner Jabulani and Corane Street Munsieville,,Victor Miti,,-26.08103,27.75301
Thusang Morwalo Advice Centre,Advice Office,Gauteng,,BoitumeloM@caosasouthafrica.org.za,156890 Mount Ayliffe Street Kagiso Extension 12 1754,,Boitumelo Mthombeni,,-26.17319,27.78672
"Thuso Yasechaba Legal Advice Office, Daveyton",Advice Office,Gauteng,,LulamaR@caosasouthafrica.org.za,2481 Marivate Street Dayveton 1520,,Lulama Mirriam Radebe,,-26.15547,28.40772
West Rand Community Advice Centre,Advice Office,Gauteng,,KhaboninaM@caosasouthafrica.org.za,Kagisanang Hall 12552 Lewisham Kagiso 1 1754,,Khabonina Mnguni,,-26.12289,27.81684
Women and The Law- WATLA,Advice Office,Gauteng,,RitaT@caosasouthafrica.org.za,14 Gmtree Street Mayberry Park Alberton,,Rita Likeledi Tladi,,-26.30907,28.11262
Adams Mission Community Resource,Advice Office,Kwazulu Natal,,NobuhleM@caosasouthafrica.org.za,70 LI Dbe Street Amaoti Inanda,,Nobuhle E Mbili,,-29.79471,30.88406
Amaoti Community Advice and Resource Centre,Advice Office,Kwazulu Natal,,SabeloM@caosasouthafrica.org.za,Amazizi Tribal Court Bergville 3350,,Sabelo Mfeka,,-28.73099,29.34515
Amazizi Community Advice Office and Resource Centre,Advice Office,Kwazulu Natal,,HlengiweZ@caosasouthafrica.org.za,11 Sharrat street Bergville 3350,,Hlengiwe Zondo,,-28.73137,29.35449
Bergville Support and Resource Centre,Advice Office,Kwazulu Natal,,ThabileM@caosasouthafrica.org.za,"Cecil street, Bulwer, 3244",,Thabile Madondo,,-29.81187,29.77695
Bulwer Support and Resource Centre,Advice Office,Kwazulu Natal,,NokuthulaM@caosasouthafrica.org.za,892-17th Avenue Clernaville 3602,,Nokuthula Mncunu,,-29.745,30.82318
Clermont Community Resource Centre,Advice Office,Kwazulu Natal,,MduduziM@caosasouthafrica.org.za,C/O KwaHlathi Traditional Court Wesbank 2920,,Mduduzi Msomi,,-28.31359,30.10421
Ekuvukeni Support and Resource Centre,Advice Office,Kwazulu Natal,,NombusoN@caosasouthafrica.org.za,1377 Mahathma Gandhi Steadville Ladysmith 3372,,Nombuso Ngcobo,,-28.5591,29.81505
Emnambithi Legal Advice Centre,Advice Office,Kwazulu Natal,,LethuxoloM@caosasouthafrica.org.za,172 Albert Street Estcourt 3310,,Lethuxolo Madondo,,-29.00605,29.87198
Escourt Support and Resource Centre,Advice Office,Kwazulu Natal,,PhumeleleM@caosasouthafrica.org.za,4 Bert Webster Street Estcourt 3310,,Phumelele Mathonsi,,-29.01817,29.86064
Faith Care Community Outreach,Advice Office,Kwazulu Natal,,ThembaK@caosasouthafrica.org.za,No 31 Kerk Street C/O Glencoe SAPS Glencoe 2930,,Themba Khanyile,,-29.92712,151.72566
Glencoe Support and Resource Centre,Advice Office,Kwazulu Natal,,SibongileM@caosasouthafrica.org.za,1058 Inanda/Bhejane Road C/O Kwambhekaphansi Shopping Centre Molweni Hillcrest 3650,,Sibongile Mchunu,,-29.73861,30.78831
Greater Molweni Community Resource Centre,Advice Office,Kwazulu Natal,,HleziphiG@caosasouthafrica.org.za,35 Arbuckle Street Himeville,,Hleziphi Gwamanda,,-29.75323,29.51059
Himeville Community Advice Office,Advice Office,Kwazulu Natal,,SindisiweM@caosasouthafrica.org.za,C/O Dlamini's Property Fredville Main Road Freadville General Dealers Inchanga,,Sindisiwe Mjoli,,-29.73297,30.66443
Inchanga Community Resources Centre,Advice Office,Kwazulu Natal,,GoodboyG@caosasouthafrica.org.za,Q298 Joma Road Umlazi Township 4031,,Goodboy Gumede,,-29.97624,30.89477
Iwundlu Community Development Centre,Advice Office,Kwazulu Natal,,ThembaS@caosasouthafrica.org.za,C/O Ixopo Magistrate Court Ixopo 3276,,Themba Simelane,,-30.14957,30.06488
Ixopo Support Outreach Centre,Advice Office,Kwazulu Natal,,BazamileM@caosasouthafrica.org.za,"G559 Ndlondlo Road, KwaMashu, 4359",,Bazamile Magubane,,-29.74527,30.97583
Kwadlangezwa Community Advice Office,Advice Office,Kwazulu Natal,,LindokuhleM@caosasouthafrica.org.za,Port Dunford Reserve Ward 18,,Lindokuhle Macuacua,,-28.91714,31.83103
KwaMashu Community Resource Centre,Advice Office,Kwazulu Natal,,NonhlanhlaC@caosasouthafrica.org.za,"3156 Nana Gumede Lane, Kwamakhutha, 4126",,Nonhlanhla Cele,,-30.02579,30.8664
KwaMakhutha Community Resource Centre,Advice Office,Kwazulu Natal,,ThandekaB@caosasouthafrica.org.za,Old Magistrates Court Mandela Drive Section 2 Madadeni 2951,,Thandeka Biyela,,-27.77001,30.08529
Madadeni Support and Resource Centre,Advice Office,Kwazulu Natal,,FranciscaN@caosasouthafrica.org.za,"74 Stirling Terrace, Mooi River, 3300",,Francisca Ntombikayise Nene,,-29.21317,29.9924
Mooi River Support and Resorce Centre,Advice Office,Kwazulu Natal,,DuduB@caosasouthafrica.org.za,"Mpophomeni SAPS 357 Ubhejana Road Mpophomeni Township, Merrivale",,Dudu Basi,,-27.04795,32.36959
Mphophomeni Support and Resource Centre,Advice Office,Kwazulu Natal,,CabanganiM@caosasouthafrica.org.za,2691 Nelson Mandela Drive Mpophomeni Township,,Cabangani Mtshali,,-29.55723,30.17996
Mpophomeni Gender & Paralegal office,Advice Office,Kwazulu Natal,,MusaK@caosasouthafrica.org.za,G41 Shezi Main Road Mpumalanga SAPS c/o Mpumalanga,,Musa Khanyile,,-29.80327,30.62194
Mpumalanga Support and Resource Centre,Advice Office,Kwazulu Natal,,ZoltaB@caosasouthafrica.org.za,no 15 Ortlepp Street Melmoth,,Zolta Buthelezi,,-28.58468,31.39404
Mthonjaneni Community Resource Centre,Advice Office,Kwazulu Natal,,IreneB@caosasouthafrica.org.za,C/D- New Hanover Magistrate Court R33 Greytown Road,,Irene Buthelezi,,-29.35563,30.5243
New Hanover Community Advice Office,Advice Office,Kwazulu Natal,,ZandileK@caosasouthafrica.org.za,Osizweni police station Newcastle,,Zandile Khanyile,,-27.75465,29.92942
Osizweni Support and Resource Centre,Advice Office,Kwazulu Natal,,Sibongile@caosasouthafrica.org.za,Plessislaer SAPS Edendale Old Main Road 3216,,Sibongile Masondo,,-29.64406,30.33734
Plessislaer Community Advice Office,Advice Office,Kwazulu Natal,,NokulungaM@caosasouthafrica.org.za,Qiko Area Undoni Municipality Ward 19,,Nokulunga Mnguni,,-30.2356,30.72977
Qiko Community Advice Office,Advice Office,Kwazulu Natal,,BusisiweM@caosasouthafrica.org.za,Rietvlei A/A Masiphilesonke Dropin Centre Ward 12 Umzimkhulu,,Busisiwe Mkhize,,-30.48747,29.83092
Rietvlei Advice and Resource Centre,Advice Office,Kwazulu Natal,,VuyokaziC@caosasouthafrica.org.za,116068 Limehill 2920,,Vuyokazi Chita,,-28.45065,30.24884
Scelukukhanya Home Based Care,Advice Office,Kwazulu Natal,,Sabelo@caosasouthafrica.org.za,357 Bhejane Road Mpophomeni Township Merrivalle,,Sabelo Molefe,,-28.66484,32.00515
Springs Of Hope,Advice Office,Kwazulu Natal,,CabanganiM@caosasouthafrica.org.za,St Faith's Location Johnsdale,,Cabangani Mtshali,,-29.60065,30.37799
St Faiths Community Advice Office,Advice Office,Kwazulu Natal,,EuniceH@caosasouthafrica.org.za,72286 Mzomunye Road Kwaximba Location Cato-Ridge 3680,,Eunice Nozipho Hadebe,,-29.73358,30.58321
Umsunduzi Community Resource Centre,Advice Office,Kwazulu Natal,,DuduzileN@caosasouthafrica.org.za,Utrecht Town Hall No 55 Voorstreet Utrecht 2950,,Duduzile Ndlovu,,-27.65621,30.32105
Utrecht Community Advice and Resource Centre,Advice Office,Kwazulu Natal,,Zandile@caosasouthafrica.org.za,"Utrecht Town Hall, No 55 Voorstreet, Utrecht 2950",,Zandile Khoza,,-27.65621,30.32105
Woza Moya Community Development Project,Advice Office,Kwazulu Natal,,SueH@caosasouthafrica.org.za,"District Road 64 Chibini Location Ufafa, Ixopo 3277",,Sue Hedden,,-29.81439,29.8221
Bloodriver Advice Office,Advice Office,Limpopo,,MaryS@caosasouthafrica.org.za,Stand No 25 Bloodriver Village Lutheran Church 0751,,Mary Selona,,-23.80825,29.37568
Broadway Legacy Foundation,Advice Office,Limpopo,,KholefeloM@caosasouthafrica.org.za,73A Haarhoff Street Groblersdal 0470,,Kholefelo Makena,,-25.17659,29.38572
Centre For Research & Development,Advice Office,Limpopo,,MaditsiK@caosasouthafrica.org.za,Schoonoord Main Road Phase 4 Sekhukhune,,Maditsi Kgoboko,,-24.75858,29.9994
Community Advice and Law Center,Advice Office,Limpopo,,PatrickM@caosasouthafrica.org.za,"Stand No 1480, Zone 8, Seshego, 0742",,Patrick Molepo,,-23.86039,29.39222
Ditenteng Advice Office,Advice Office,Limpopo,,DinaS@caosasouthafrica.org.za,Moletjie Machoane Ga Manamela,,Dina Senyatsi,,-23.70394,29.2323
Koppermyn Advice Office,Advice Office,Limpopo,,DanielR@caosasouthafrica.org.za,10/57 Leratong Street Koppermyn 0719,,Daniel Raphotle,,-24.14503,28.98509
Lebowakgono Legal Advice Centre,Advice Office,Limpopo,,GiftM@caosasouthafrica.org.za,Office No 470 Zone 5 Phase 2 Lebowakgomo 0737,,Gift Moremi,,-24.32006,29.48128
Mafefe Legal Advice Office,Advice Office,Limpopo,,ZachariahT@caosasouthafrica.org.za,Mafefe Mahlatjane Section,,Zachariah Thobejane,,-24.18682,30.07964
Mamadi Advice Office,Advice Office,Limpopo,,PhineasK@caosasouthafrica.org.za,"Taaibosch Ga-Mamadi, Tribal Office",,Phineas Kopa,,-22.84627,28.91691
Mankweng Community Law Advice Office,Advice Office,Limpopo,,MaupiM@caosasouthafrica.org.za,584 Unit A Mankweng,,Hilda Modiba,,-23.86846,29.71696
Mankweng Advisory Centre,Advice Office,Limpopo,,HildaM@caosasouthafrica.org.za,Pholamed Centre Monywaneng Village Ga-Mamabolo,,Maupi John Mabokela,,-23.88852,29.8057
Manthata Advice Office,Advice Office,Limpopo,,JohannaM@caosasouthafrica.org.za,Mohodi Ha- Manthata Next to Matipane Garage,,Johanna Mkhabela,,-23.38088,29.12244
Matlala Advice Office,Advice Office,Limpopo,,OlittaL@caosasouthafrica.org.za,"Stand No 10005 Tibanefontein Village, Ga-Matlala",,Olitta Letsoalo,,-24.87797,29.56517
Messina Legal Advice Office,Advice Office,Limpopo,,JacobM@caosasouthafrica.org.za,1224 Rollet Kwenda Street Ext 2 Nancefield,,Jacob Matakanye,,-22.33099,30.0233
Opret Advice Office,Advice Office,Limpopo,,MokgaetjiM@caosasouthafrica.org.za,"70 Thabo Mbeki Drive, Isfaans Building, Office No1, Mokopane 0600",,Mokgaetji Norea Mmina,,-24.1838,29.01281
Relemogile Advice Office,Advice Office,Limpopo,,FransM@caosasouthafrica.org.za,Lephapane Village Khopo Tzaneen,,Frans Makwela,,-23.82094,30.16905
Sekhukhune Advice Office,Advice Office,Limpopo,,TM@caosasouthafrica.org.za,Steelpoort Main Road R554 Tshehlwaneng Sekhukhune 1124,,T.F. Moela,,-24.77268,29.98784
Street Law Legal advice,Advice Office,Limpopo,,JoelT@caosasouthafrica.org.za,Stand No4 Lekolokoto Road Mopetsi Camp Moroke Bugersfort,,Joel Thobejane,,38.89037,-77.03196
Thusa Lushaka Paralegal and Advice,Advice Office,Limpopo,,ThendoS@caosasouthafrica.org.za,Bogaladi Village Ga- Nkoana,,Thendo Mpho Sivule,,-23.90812,29.45964
Sekhukhune Combined Mining Affected Communities,Advice Office,Limpopo,,PleasureM@caosasouthafrica.org.za,393 Solomon Mahlangu Street Vleifontein Location 0948,,Pleasure Malesa,,38.89037,-77.03196
Albert Luthuli human rights advice office centre,Advice Office,Mpumalanga,,SontoM@caosasouthafrica.org.za,505 Nhlazatshe Elukwatini 1192,,Sonto Annah Mabanga,,-26.04,30.79162
Bohlabela Resource and Advice Centre,Advice Office,Mpumalanga,,DerrickM@caosasouthafrica.org.za,"R533Graskop Road Opposite SASSA and Margistrate Court, Bushbuckridge",,Derrick Marimane,,-24.83609,31.06792
Chweni Advice Office,Advice Office,Mpumalanga,,SenzaniM@caosasouthafrica.org.za,Stand No 196 Chweni Trust Kabokweni 1245,,Senzani Mahlangu,,-25.34117,31.13132
Daggakraal Advice Centre,Advice Office,Mpumalanga,,AlexK@caosasouthafrica.org.za,Sinqobile A next to Thembalokuphila Clinic,,Alex Gugu Kubheka,,-25.47282,30.97699
Embalenhle Advice Office,Advice Office,Mpumalanga,,TelfordM@caosasouthafrica.org.za,2151/1 Jabulani Crescent Ext 1 Embalenhle,,Telford Mkhutswa,,-26.54751,29.07256
Ingomuso Lethu Centre,Advice Office,Mpumalanga,,LuciaK@caosasouthafrica.org.za,Stand No 1580 Verena D,,Lucia Kgaphola,,-25.46655,29.03193
Inkomazi Community Advice Office,Advice Office,Mpumalanga,,SandileM@caosasouthafrica.org.za,"Stand No788B, Opposite Puma Garage R570 Road to Matsamo Border Gate",,Sandile Nkosi,,38.89037,-77.03196
Kwafene Advice Office,Advice Office,Mpumalanga,,ThokoM@caosasouthafrica.org.za,House No 128 Sakhile Thokoza Kwa- Mhlanga 1022,,Thoko Mahlangu,,-26.96438,29.22019
Kwaguqa Advice Office,Advice Office,Mpumalanga,,RatileH@caosasouthafrica.org.za,1957 MGT Ntuli Corner Skosana Kwa-Guqa Ext 4 Emalahleni 1039,,Ratile Patience Hlabangwane,,-25.86047,29.12466
Leandra Community Centre,Advice Office,Mpumalanga,,ZwelibanziH@caosasouthafrica.org.za,"1095 Butana Nkambule Street, Leslie/ Leandra, 2265",,Zwelibanzi Hlatshwayo,,-26.37087,28.9227
Mabandla Paralegal Services,Advice Office,Mpumalanga,,MaggieN@caosasouthafrica.org.za,Stand 1525 Kamhlushwa,,Maggie Ngwenyama,,-25.64599,31.68219
Resoketswe Lebjane Foundation,Advice Office,Mpumalanga,,CincinantiaL@caosasouthafrica.org.za,Violetbank Stand No: 100A Bushbuckridge 1280,,Cincinantia Lebjane,,-24.70292,31.0243
Senzokuhle Advice Centre,Advice Office,Mpumalanga,,LindiweM@caosasouthafrica.org.za,"291 Titiboy Stanely Street Kwazamokuhle, 1098",,Lindiwe P Martins,,-26.13802,29.73647
Standerton Victim Empowerment and Advice Office,Advice Office,Mpumalanga,,JoyceS@caosasouthafrica.org.za,7 Ash Street Flora Park Standerton 2430,,Seshika Joyce,,-26.92497,29.24396
Voice of the Voiceless,Advice Office,Mpumalanga,,thulanin@caosasouthafrica.org.za,1058 Tweefontein B2 Phumula Kwamhlanga 1022,,Thulani Christopher Ndlovu,,-25.42999,28.7089
Bloemhof Legal Education and Development Centre,Advice Office,North West,,TebogoM@caosasouthafrica.org.za,"Phatsima Community Centre, Rusternburg",,Tebogo Moseki,,-25.39281,27.01788
Bojanala Legal Advice Office,Advice Office,North West,,GideonM@caosasouthafrica.org.za,890 Nare Street Boitumelong Location Bloemhof 2660,,Gideon Moalusi,,-27.63914,25.56912
Human Rights Legal Centre,Advice Office,North West,,DanielD@caosasouthafrica.org.za,"231 Boikhustong, Phase 2, Ventersdorp",,Daniel Dibe,,-26.31283,26.82588
Justice and Peace Commission of the Catholic Diocese of Klerksdorp,Advice Office,North West,,PetrusM@caosasouthafrica.org.za,"C12,23rd Street Jouberton 2574",,Petrus Moshe,,-26.89492,26.60131
Kopano Legal Advice Centre,Advice Office,North West,,SimonP@caosasouthafrica.org.za,"1051 Van Der Walt Street, Thlabologang, Coligny",,Simon Phutiagae,,-26.3322,26.30236
Leeudoringstad Advice and Development Centre,Advice Office,North West,,SandraT@caosasouthafrica.org.za,"499 Mogale Street, Leeudoring, 2640",,Sandra Thulo,,-27.24005,26.23081
Lesedi Community Advice Centre,Advice Office,North West,,LesabeM@caosasouthafrica.org.za,2690 Mothusi Street Vryburg 8601,,Lesabe Mabale,,-26.98077,24.74807
Lethabile Network Against Domestic Violence Child Abuse and HIV AIDS,Advice Office,North West,,TebogoN@caosasouthafrica.org.za,"268 Langa street Block G Ward 9 Lethabile, 0264",,Tebogo Ncube,,-25.86371,25.64641
Lethabong Drop in and Advice Centre,Advice Office,North West,,KgomotsoR@caosasouthafrica.org.za,40010 Stateng Section Jericho 0189,,Kgomotso Rapasha,,-25.32695,27.80285
Letsopa Advice Centre,Advice Office,North West,,JohnK@caosasouthafrica.org.za,"436 Kameel Street, Letsopa Township Ottosdal 2610",,John Kolojane,,-26.80605,25.98845
Matlosane Advice and Justice Centre,Advice Office,North West,,TumisoM@caosasouthafrica.org.za,Y9 Jabulane Street Jouberton Klerksdorp 2574,,Tumiso Maarohanye,,-26.88948,26.60369
Orkney Community Legal Development and Education Centre,Advice Office,North West,,TheoM@caosasouthafrica.org.za,1504 Essop Panad Street Kanana Township Orkney 2619,,Theo Matlawe,,-26.93728,26.64969
Paralegal Advice Office,Advice Office,North West,,DinaM@caosasouthafrica.org.za,"545 Boikhutsong village, Ventersdorp",,Dina Matsipe,,-26.31283,26.82588
Reabetswe Support Group,Advice Office,North West,,SabataK@caosasouthafrica.org.za,546 Tshipo Street Wolmaranstad,,Sabata Kgamanyane,,-27.20017,25.9848
Tlhoafalo Advice Centre,Advice Office,North West,,RaisibeT@caosasouthafrica.org.za,Majakaneng Section Ntsweletsoku Village Lehurutshe Near Zeerust Town,,Raisibe Tshweu,,-25.44584,25.96546
Kgatelopele Social Development and and Advice Office,Advice Office,Northern Cape,,JeneatteM@caosasouthafrica.org.za,"208 Park Road, Danielskuin, 8405",,Jeneatte Mqomo,,-28.18246,23.54176
Kuruman Legal Advice and Development Centre,Advice Office,Northern Cape,,LoratoC@caosasouthafrica.org.za,St Michaels Building Batiharos,,Lorato Chwenyane,,-33.87341,18.69018
Save the Rural Child Foundation South Africa,Advice Office,Northern Cape,,ShadrackL@caosasouthafrica.org.za,27 Chail Cilliers Street Douglas 8730,,Shadrack Olebogeng Lawrence,,-29.05456,23.77421
Thabang Community Development Centre,Advice Office,Northern Cape,,EbenetteM@caosasouthafrica.org.za,"58 Thompson Street, Bonitapark, Hartswater",,Ebenette Makhoana,,-27.74615,24.80938
Thuso Advice and Development Centre,Advice Office,Northern Cape,,MichaelB@caosasouthafrica.org.za,12 Jackson Makodi Street Pampierstad 8566,,Besent Micheal Lasky,,-27.77624,24.69214
Athlone District Advice Office,Advice Office,Western Cape,,BrianA@caosasouthafrica.org.za,"42 Aden street, Athlone, 7764",,Brian Alcock,,-33.96244,18.50569
Beaufort West Legal Advice and Development Office,Advice Office,Western Cape,,MasibuleleM@caosasouthafrica.org.za,Office 03 Merico Arcade Donkin Street Beaufort West,,Masibulele Uegen Mapotolo,,-32.34414,22.58197
Change Agents South Africa,Advice Office,Western Cape,,OlinK@caosasouthafrica.org.za,25 Du Toit Street Montagu 6720,,Olin Kiewietz,,-33.78261,20.12233
De Doorns Community Advice and Development Office,Advice Office,Western Cape,,ThamsanqaP@caosasouthafrica.org.za,54 Thambo Street Ekuphumleni De Doorns 6875,,Thamsanqa Phala,,-33.48003,19.67873
Elsies River Community Advice Office,Advice Office,Western Cape,,JulianS@caosasouthafrica.org.za,"Office 4,1st floor,Hashim Centre Corner Halt Road & 28th Avenue Elsies River 7490",,Julian Schroeder,,-33.92408,18.56855
Heidelberg Advice and Development Centre,Advice Office,Western Cape,,CliveP@caosasouthafrica.org.za,"9 Mervyn Joseph Street, Joe Slovo Park, Heiderberg,Western Cape",,Clive Pretorius,,-34.10613,20.96099
Heideveld and District Advice Office,Advice Office,Western Cape,,MugidienB@caosasouthafrica.org.za,Heideveld Sports Complex Off Zuurberg Road Heideveld 7764,,Mugidien Barnes,,-33.96054,18.54995
Langa Community Advice Services,Advice Office,Western Cape,,ViweS@caosasouthafrica.org.za,"Langa Housing Office Masakhane Outside Building Lerotholi Avenue Langa, Cape Town",,Viwe Robert Sandlana,,-33.94412,18.52541
Merweville Advice and Development Office,Advice Office,Western Cape,,JohnayM@caosasouthafrica.org.za,92 Skema Street Merweville 6940,,Johnay Mentoor,,-32.66936,21.50586
Mitchells Plain Community Advice and Development Project,Advice Office,Western Cape,,WilliamS@caosasouthafrica.org.za,"Room 13/1st Floor OGS Building, Corner 1st Street & 4th Avenue Town Centre, Mitchells Plain, 7785",,William R.D Simmers,,-34.05101,18.62198
Moorreesburg Advice and Development Initiative,Advice Office,Western Cape,,JannieH@caosasouthafrica.org.za,45 Zinia Street Rosenhof Moorreesburg 7310,,Jannie Hendricks,,-33.14529,18.67327
Nelspoort Advice and Development Office,Advice Office,Western Cape,,ClaudiaV@caosasouthafrica.org.za,"02 Nelspoort, Old Nurses Home, 6973",,Claudia Van Staden,,-32.1157,23.00283
Nuwekloof Rural Development,Advice Office,Western Cape,,FaizaD@caosasouthafrica.org.za,5 Gladiola Street Esterhof Riebeek Kasteel 7307,,Roger Roman,,-33.38669,18.9219
People's Rural Organisation P.R.O,Advice Office,Western Cape,,LeeroyJ@caosasouthafrica.org.za,23 Zinnia Street Porterville 6810,,Leeroy Joseph,,-33.0253,18.99059
Riversdale Advice and Development Centre,Advice Office,Western Cape,,KoosS@caosasouthafrica.org.za,34 Aalwyn Ave Aloeridge Riversdale 6670,,Koos Saayman,,-34.10272,21.26258
Saldanha Bay Advice Office,Advice Office,Western Cape,,SebenzaV@caosasouthafrica.org.za,"16 Plein Street, Vredenburg, 7380",,Sebenza James Venfolo,,-32.90774,17.9928
Southern Cape Community Forum,Advice Office,Western Cape,,PetrosM@caosasouthafrica.org.za,7576 Emandleni Street Zone 6 Thembalethu 6524,,Petros Mapapa,,-34.00302,22.48261
Step Up Association,Advice Office,Western Cape,,ElbreJ@caosasouthafrica.org.za,28 George Blake Street Kayamandi Stellenbosch 7600,,Albre Jacobs,,-33.92071,18.85639
Swellendam Advice & Development Centre,Advice Office,Western Cape,,JackieH@caosasouthafrica.org.za,15 Voortrek Street Coetzee Building Swellendam 6740,,Jackie Hansen,,-34.0184,20.44624
Touwsrivier Advice and Development Centre,Advice Office,Western Cape,,DesmondB@caosasouthafrica.org.za,Logans Street 41 Touwsriver 6880,,Desmond Bezuidenhod,,-33.3405,20.03138
Witzenberg Rural Development Centre,Advice Office,Western Cape,,EmmarentiaG@caosasouthafrica.org.za,"121 Voortrekker Street office 12 Jumbo Building, Ceres 6835",,Emmarentia Goliath,,-33.36752,19.3146
